"crime","neighbourhood","incidents","year"
"Arson","Al Ritchie",5,2012
"Assault","Al Ritchie",110,2012
"Attempt Murder","Al Ritchie",0,2012
"B&E (Business)","Al Ritchie",4,2012
"B&E (Garage)","Al Ritchie",25,2012
"B&E (Other)","Al Ritchie",1,2012
"B&E (Residence)","Al Ritchie",31,2012
"B&E Motor Vehicle Firearms","Al Ritchie",0,2012
"Commodification of Sexual Activity","Al Ritchie",14,2012
"Controlled Drugs","Al Ritchie",12,2012
"Crimes Against Property(2150-2166)","Al Ritchie",24,2012
"Dangerous Operation","Al Ritchie",1,2012
"Deprivation of Freedom","Al Ritchie",1,2012
"HWY Traffic Violation","Al Ritchie",114,2012
"Impaired Operation","Al Ritchie",28,2012
"Mischief","Al Ritchie",105,2012
"Municipal ByLaws","Al Ritchie",4,2012
"Offensive Weapons","Al Ritchie",13,2012
"Other Crminal Code Traffic","Al Ritchie",27,2012
"Other Federal Statute Violations","Al Ritchie",2,2012
"Other Theft Over","Al Ritchie",1,2012
"Other Theft Under","Al Ritchie",54,2012
"OtherCriminalCode (A)","Al Ritchie",109,2012
"OtherCriminalCode (B)","Al Ritchie",2,2012
"Prostitution","Al Ritchie",0,2012
"Provincial Statutes","Al Ritchie",119,2012
"Sexual Assault","Al Ritchie",5,2012
"Shoplift Over","Al Ritchie",0,2012
"Shoplift Under","Al Ritchie",5,2012
"Special Inq (8510-8640)","Al Ritchie",454,2012
"Special Inq (8660-8814)","Al Ritchie",325,2012
"Theft From Auto Over","Al Ritchie",2,2012
"Theft From Auto Under","Al Ritchie",86,2012
"Theft of Motor Vehicle VA, VT","Al Ritchie",62,2012
"Theft of Other Vehicle VM, VO","Al Ritchie",3,2012
"Violation Causing Death","Al Ritchie",1,2012
"Violence/Threat","Al Ritchie",23,2012
"Total","Al Ritchie",1772,2012
"Arson","Albert Park",3,2012
"Assault","Albert Park",56,2012
"Attempt Murder","Albert Park",0,2012
"B&E (Business)","Albert Park",9,2012
"B&E (Garage)","Albert Park",10,2012
"B&E (Other)","Albert Park",18,2012
"B&E (Residence)","Albert Park",36,2012
"B&E Motor Vehicle Firearms","Albert Park",0,2012
"Commodification of Sexual Activity","Albert Park",1,2012
"Controlled Drugs","Albert Park",7,2012
"Crimes Against Property(2150-2166)","Albert Park",41,2012
"Dangerous Operation","Albert Park",9,2012
"Deprivation of Freedom","Albert Park",0,2012
"HWY Traffic Violation","Albert Park",242,2012
"Impaired Operation","Albert Park",22,2012
"Mischief","Albert Park",101,2012
"Municipal ByLaws","Albert Park",2,2012
"Offensive Weapons","Albert Park",4,2012
"Other Crminal Code Traffic","Albert Park",30,2012
"Other Federal Statute Violations","Albert Park",0,2012
"Other Theft Over","Albert Park",1,2012
"Other Theft Under","Albert Park",82,2012
"OtherCriminalCode (A)","Albert Park",63,2012
"OtherCriminalCode (B)","Albert Park",11,2012
"Prostitution","Albert Park",0,2012
"Provincial Statutes","Albert Park",80,2012
"Sexual Assault","Albert Park",3,2012
"Shoplift Over","Albert Park",0,2012
"Shoplift Under","Albert Park",59,2012
"Special Inq (8510-8640)","Albert Park",319,2012
"Special Inq (8660-8814)","Albert Park",393,2012
"Theft From Auto Over","Albert Park",2,2012
"Theft From Auto Under","Albert Park",82,2012
"Theft of Motor Vehicle VA, VT","Albert Park",36,2012
"Theft of Other Vehicle VM, VO","Albert Park",0,2012
"Violation Causing Death","Albert Park",0,2012
"Violence/Threat","Albert Park",25,2012
"Total","Albert Park",1747,2012
"Arson","Argyle Park",2,2012
"Assault","Argyle Park",16,2012
"Attempt Murder","Argyle Park",0,2012
"B&E (Business)","Argyle Park",3,2012
"B&E (Garage)","Argyle Park",1,2012
"B&E (Other)","Argyle Park",0,2012
"B&E (Residence)","Argyle Park",6,2012
"B&E Motor Vehicle Firearms","Argyle Park",0,2012
"Commodification of Sexual Activity","Argyle Park",1,2012
"Controlled Drugs","Argyle Park",1,2012
"Crimes Against Property(2150-2166)","Argyle Park",10,2012
"Dangerous Operation","Argyle Park",2,2012
"Deprivation of Freedom","Argyle Park",1,2012
"HWY Traffic Violation","Argyle Park",88,2012
"Impaired Operation","Argyle Park",13,2012
"Mischief","Argyle Park",26,2012
"Municipal ByLaws","Argyle Park",1,2012
"Offensive Weapons","Argyle Park",1,2012
"Other Crminal Code Traffic","Argyle Park",13,2012
"Other Federal Statute Violations","Argyle Park",0,2012
"Other Theft Over","Argyle Park",0,2012
"Other Theft Under","Argyle Park",33,2012
"OtherCriminalCode (A)","Argyle Park",24,2012
